Feature,PValue,EtaSquared
r2_c1_T_std,7.12650336894835e-19,0.0608111364771
r3_c1_T_std,1.54339041272981e-18,0.059759316477879
r4_c2_T_std,4.10159215772053e-18,0.0584269446323693
r3_c4_T_std,1.43393435014982e-17,0.0567174474917467
r4_c4_T_std,3.10244460694213e-16,0.052502494816634
r4_c1_T_std,4.2373248798319e-16,0.0520738072295575
r4_c3_T_std,2.5529020981341e-15,0.0495995042155771
r2_c4_T_std,1.61027003898372e-14,0.0470534999468951
r1_c1_T_std,2.25218955536e-14,0.04658876587408
r1_c2_T_std,3.10856234220418e-13,0.0429425349790349
r3_c1_S_std,2.02436333598664e-11,0.0371017218136466
r1_c1_S_std,3.88406825717122e-11,0.0361857546411761
r4_c2_S_std,4.07347565830899e-11,0.0361187753522725
r2_c1_S_std,8.57972051366253e-11,0.0350699802634703
r1_c2_S_std,2.75074105673156e-10,0.0334261116945916
r1_c4_T_std,2.82668446079391e-10,0.0333876324694156
r4_c1_S_std,3.34311416718027e-10,0.0331504956326194
r1_c3_T_std,4.50736151686296e-10,0.0327279810006026
r4_c3_S_std,2.01628543789771e-09,0.0306050879565026
r2_c4_S_std,3.83788938863855e-09,0.0296905937728445
r3_c2_S_mean,3.9701848228559e-09,0.0296424029297061
r2_c3_T_mean,1.33693668079506e-08,0.0279131109883954
r3_c4_S_std,4.18381306624978e-08,0.0262830840592958
r4_c1_L_std,7.04776158656657e-08,0.0255362412099204
r2_c2_T_mean,1.37174014521795e-07,0.0245808355107067
r3_c2_T_mean,1.56404044326771e-07,0.0243923957026384
r2_c3_S_mean,1.83725537525923e-07,0.0241610371906759
r3_c3_S_mean,1.85414414768769e-07,0.0241478845510436
r3_c1_S_mean,1.99373699437054e-07,0.0240435351169208
r3_c3_T_mean,2.12877355792263e-07,0.0239493035670062
r3_c1_L_std,2.48659849107234e-07,0.0237258239481857
r4_c2_S_mean,2.8873191080948e-07,0.0235108092313235
r2_c1_L_std,3.03269095174252e-07,0.0234400972566486
r2_c2_S_mean,3.03958918289375e-07,0.0234368263391092
r1_c4_S_std,6.84864264233077e-07,0.0222658136294658
r3_c4_T_mean,7.83888464160836e-07,0.0220708303111428
r2_c2_T_std,8.07080999796972e-07,0.0220287204099686
r4_c3_T_mean,1.0013749446364e-06,0.0217170605728887
r1_c3_S_std,1.08707301950881e-06,0.0215983564111733
r4_c4_T_mean,1.12324830810648e-06,0.0215510241479533
r4_c2_T_mean,1.41224575351204e-06,0.0212198279018478
r2_c4_T_mean,1.53170802210024e-06,0.0211023000201849
r4_c1_S_mean,2.19184501311829e-06,0.0205832147944875
r3_c1_T_mean,2.65641658091026e-06,0.0203044798933358
r2_c1_S_mean,2.90188405742175e-06,0.0201762604951751
r4_c1_T_mean,4.42088070728364e-06,0.0195649333200085
r4_c4_L_mean,4.43061975220698e-06,0.0195617351538747
r1_c3_T_mean,5.55865438934692e-06,0.0192319403971571
r4_c4_S_std,5.96952638830849e-06,0.0191281903652102
r1_c2_S_mean,1.29564721960281e-05,0.0179987772746524
r1_c2_T_mean,1.37626134102005e-05,0.0179106482582304
r1_c1_S_mean,1.81849769634996e-05,0.0175035131092995
r3_c4_L_std,1.90417734084121e-05,0.0174361933993882
r3_c4_L_mean,1.9129747982083e-05,0.0174294525956306
r3_c4_S_mean,2.04301514938984e-05,0.0173332597575426
r4_c3_S_mean,2.13220106312541e-05,0.0172707489475823
r4_c3_L_std,2.80828544877643e-05,0.01686751323902
r2_c1_T_mean,2.88363278332661e-05,0.0168287214760805
r1_c4_T_mean,4.08200385848325e-05,0.0163190730913435
r4_c4_S_mean,4.10990740536817e-05,0.0163090741329582
r2_c4_L_std,4.75894955169624e-05,0.0160937815702912
r3_c3_T_std,5.32411027358286e-05,0.0159289016115746
r2_c3_T_std,6.68512909595914e-05,0.0155941406062378
r1_c1_T_mean,6.92025019816057e-05,0.015543272982515
r4_c4_L_std,8.36440178109877e-05,0.0152641894681127
r1_c4_L_std,8.49357852626917e-05,0.0152416102309475
r2_c4_S_mean,0.000114730873208479,0.014798206806643
r1_c3_S_mean,0.000114877761961226,0.0147963184833233
r3_c2_T_std,0.000136368743909512,0.0145430902947089
r4_c2_L_std,0.000141835277079564,0.0144850184584005
r1_c1_L_std,0.000208329208219423,0.0139162580645427
r1_c2_L_std,0.000212965502283945,0.013883654687961
r1_c4_S_mean,0.000637223929318395,0.0122541186102059
r1_c2_L_mean,0.00138047094874612,0.0110966309079833
r1_c4_L_mean,0.00269118440153914,0.0100906941458694
